filename,property,len_characters,per_line,lines,tab_ratio,word_num,ratio_space,signle_chr,alpha_dig_num,methods_num,hex_num,comment_num,avg_comment,avg_argument,ratio_read,ratio_operator,var,return,function,term,length,else,new,null,prototype,type,typeof,Module,style,fn,com,document,class,url,text,title,src,ie,data,href,cn,window,if,name,location,www,link,contentStr,titleStr,WEA,images,true,false,js,Math,event,element,break,parentNode,jQuery,position,html,default
1037_black.txt,1,16177,16177.0,1,0.0,7973,0.0810409841132472,313,1962,575,0,1,1.0,9.304347826086957,0.05179982440737489,0.0297253229650069,11,0,1,0,0,0,2,0,0,1,0,0,0,15,1,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1806_black.txt,1,11062,11062.0,1,0.0,5965,0.036340625564997286,239,1045,1,0,0,0.0,3.0,0.06504610226320201,0.5126571668063705,21,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43_black.txt,1,253745,253745.0,1,0.0,208868,0.7026266527419259,1911,6445,6,0,1,1.0,0.5,0.0318622287760691,0.05108010801080108,4632,0,0,0,0,0,3,0,0,4,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
1751_black.txt,1,18397,274.5820895522388,67,0.0,3850,0.009566777191933468,57,132,183,0,284,4.2388059701492535,6.8743169398907105,0.4254545454545455,0.16025974025974027,179,11,61,0,7,24,5,0,0,1,1,0,0,4,1,0,12,9,0,9,12,0,9,0,0,1,80,0,0,1,4,0,0,0,0,8,19,0,8,3,10,0,0,2,1,3,2
1798_black.txt,1,1508,1508.0,1,0.0,679,0.013925729442970823,197,40,35,36,0,0.0,1.3428571428571427,0.08394698085419734,0.26362297496318116,6,4,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152_black.txt,1,3595,3595.0,1,0.0,497,0.062308762169680114,6,13,14,0,1,1.0,14.785714285714286,0.2655935613682093,0.11066398390342053,13,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
478_black.txt,1,2579,2579.0,1,0.0,1236,0.038774718883288095,68,272,2,0,0,0.0,1.5,0.0825242718446602,0.3155339805825243,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963_black.txt,1,13910,13910.0,1,0.0,6940,0.04018691588785047,375,1427,5,0,1,1.0,0.6,0.0659942363112392,0.335014409221902,12,0,0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
364_black.txt,1,26986,26986.0,1,0.0,8112,0.004594975172311569,800,1820,126,400,0,0.0,2.3174603174603177,0.06385601577909271,0.1362179487179487,68,45,60,0,18,3,2,1,0,1,1,0,0,1,0,0,0,13,0,0,1,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,0,0,1
687_black.txt,1,14670,14670.0,1,0.0,4760,0.006134969325153374,1035,969,80,72,0,0.0,1.5875,0.08214285714285714,0.2777310924369748,42,39,60,0,5,3,2,1,0,1,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,68,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1
1567_black.txt,1,1517,1517.0,1,0.0,688,0.013843111404087014,198,41,35,36,0,0.0,1.3428571428571427,0.08284883720930232,0.26453488372093026,6,4,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084_black.txt,1,64807,64807.0,1,0.0,25762,0.1505392935948277,319,6732,1504,0,0,0.0,8.303856382978724,0.08865771291048831,0.04537691173045571,11,940,940,0,0,1,1,0,0,1,0,0,0,17,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
825_black.txt,1,2598,2598.0,1,0.0,1234,0.03849114703618168,69,272,3,0,1,1.0,0.6666666666666666,0.08103727714748785,0.31766612641815234,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1617_black.txt,1,100433,20086.6,5,0.0,27951,0.013013650891639202,7746,994,1638,2,116,23.2,3.001221001221001,0.2525848806840542,0.17784694644198776,287,415,544,0,171,49,23,137,18,181,87,0,90,38,25,32,35,26,53,0,7,56,106,15,3,4,422,28,2,2,4,0,0,0,0,3,5,21,10,87,2,23,63,8,16,21,21
